actors,country,director,genre,grade,introduce,keywords,language,length,name,up_date
"本·阿弗莱克,裴淳华,尼尔·帕特里克,泰勒·派瑞,凯莉·库恩",美国,大卫·芬奇,"
                   剧情        / 悬疑        / 惊悚片        ",8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","失踪,失踪者,谋杀嫌疑犯,夫妻关系,基于小说","
          英语        ",149分钟,"
        消失的爱人,Gone Girl ",(2014)
"伊丽娜·别尔克伦德,萨穆里·埃德尔曼,Roope Karisto,伊娃·罗斯,约里克·范",芬兰,Lenka Hellstedt,"
                   犯罪        / 爱情        ",4.8,A young drifting woman finds love that is not what it first seems.,"酒精,毒品","
          芬兰语        ",91分钟,"
        Minä ja Morrison ",(2002)
"汤姆·汉克斯,汤姆·塞兹摩尔,爱德华·伯恩斯,巴里·佩珀,亚当·戈德堡",美国,史蒂文·斯皮尔伯格,"
                   剧情        / 战争        ",8.6,在诺曼底登陆后，一群美军士兵在敌人的防线后面搜寻一名在战斗中被杀的伞兵。,"救援任务,D日,第二次世界大战,诺曼底,军队","
          英语        ",169分钟,"
        拯救大兵瑞恩,Saving Private Ryan ",(1998)
"莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,Luciano Federico,玛蒂尔德·皮亚纳,Pietro Notarianni",意大利,朱塞佩·托纳多雷,"
                   喜剧         / 剧情        / 爱情        / 战争        ",7.5,"Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.","女的脱衣服,女脱衣服","
          意大利语        ",84分钟,"
        西西里的美丽传说,Malèna ",(2000)
"马丁·鲍尔萨姆,约翰·菲德勒,李·科布,E.G. Marshall,杰克·克卢格曼",美国,西德尼·吕美特,"
                   剧情        ",8.9,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"陪审团,对话驱动,法庭,单套生产,审判","
          英语        ",96分钟,"
        十二怒汉,12 Angry Men ",(1957)
"大杉涟,山地美貴,Kei Shuto,下元史朗,Kaoru Kaze",日本,周防正行,"
                   喜剧         / 剧情        ",6,"The film tells a story about a woman and her relationship with the family of her husband's, in particular her husband's younger brother and father-in-law. Her husband, on the other hand, has an affair with a dominatrix and is obsessed in S&M games.",父子关系,"
          日语        ",63分钟,"
        变态家族：长兄的新娘,Hentai kazoku: Aniki no yomesan ",(1984)
"Christian Bale,希斯·莱杰,艾伦·艾克哈特,迈克尔·凯恩,玛吉·吉伦哈尔",美国,克里斯托弗·诺兰,"
                   动作片        / 犯罪        / 剧情        / 惊悚片        ",9,一个团伙抢劫了当地一家银行，但小丑杀掉了所有同伴，自己带钱离开了。银行抢劫案引出了故事的主角蝙蝠侠，小丑开始不断制造矛盾，让蝙蝠侠和身边的人进入他精心设计好的游戏中，经历人性善恶的考验。 影片中，小丑是一个毫无底线和原则的混乱者，与蝙蝠侠斗智斗勇，通过疯狂的杀戮使哥谭市陷入混乱和恐惧之中。以前女友和“情敌”为诱饵，让蝙蝠侠做出选择；以两艘满是不同阶层的民众生命为代价，让人们做出选择，以及光明骑士的黑化等为故事主线，不断对人性做出选择。 故事情节曲折，处处折射出对现实和人性的思考，是一部不可多得佳作。,"DC漫画,小丑,小丑,犯罪策划,精神病患者","
          英语        ",152分钟,"
        蝙蝠侠：黑暗骑士,The Dark Knight ",(2008)
"William Powell,安娜贝拉,Helen Westley,亨利·斯蒂芬森,约瑟夫·斯柴德克劳特",美国,沃尔特·朗,"
                   喜剧         / 剧情        / 爱情        ",6.7,A butler gets elected to the Hungarian parliament where he opposes his master's government.,"议会,巴特勒,总理,匈牙利,阶级差别","
          英语        ",79分钟,"
        男爵夫人与管家,The Baroness and the Butler ",(1938)
"克里斯托弗·沃肯,卡洛尔·布盖,乔纳森·普雷斯,Sheila Hancock,Anna Manahan",英国,夏洛特·布伦斯特伦,"
                   喜剧         / 爱情        ",5.6,"This is the story of the lovely Kate Swallow and the loves of her life. At the start she is with Alec Bolton, a noted author, who discourages her when she wants to write a novel. Later she is swept off her feet by Alecs publisher, Vanni Corso, and leaves Alec for Vanni. She writes another novel and …","F级,独立电影,基于书","
          英语        ",98分钟,"
        爱情交易,A Business Affair ",(1994)
"让·雷诺,加里·奥德曼,娜塔莉·波特曼,丹尼·爱罗,彼得·阿佩尔",法国,吕克·贝松,"
                   动作片        / 犯罪        / 剧情        / 惊悚片        ",8.5,马蒂尔达，一个12岁的女孩，在她的家人被谋杀后，被职业杀手莱昂勉强收留。当她成为他的门徒韚·e并得知刺客的职业时，一种不寻常的关系形成了。,"女孩,新黑,杀手,杀手儿童,老人与少女的关系","
          英语        ",133分钟,"
        这个杀手不太冷, Léon ",(1994)
